"","month","Revenue_Camera","Revenue_CameraAccessory","Revenue_EntertainmentSmall","Revenue_GameCDDVD","Revenue_GamingHardware","total_gmv","Units_Camera","Units_CameraAccessory","Units_EntertainmentSmall","Units_GameCDDVD","Units_GamingHardware","total_Units","Mrp_Camera","Mrp_CameraAccessory","Mrp_EntertainmentSmall","Mrp_GameCDDVD","Mrp_GamingHardware","total_Mrp","Discount_Camera","Discount_CameraAccessory","Discount_EntertainmentSmall","Discount_GameCDDVD","Discount_GamingHardware","total_Discount","Year","Month","Total.Investment","TV","Digital","Sponsorship","Content.Marketing","Online.marketing","Affiliates","SEM","Radio","Other","Date","NPS"
"1",Jan 2016,186935802,26387431.0011512,109301979.358871,16884873.7980574,47700159.5475916,387210245.705672,10442,22525,81510,9623,22799,146899,307171062,46579865,215177836,25543981,86592743,681065487,120235260,20192433.9988488,105875856.641129,8659107.20194263,38892583.4524084,293855241.294328,2016,1,7.42e+08,4.4e+07,5e+06,4.2e+07,9e+06,2.29e+08,7.4e+07,4.2e+07,2.7e+07,2.71e+08,2016-01-01,47.1
"2",Feb 2016,154998880.14926,25368804.0007087,101172468.279073,15100016.4917277,35614536.6224062,332254705.543175,8606,25406,81292,8868,22818,146990,239860540,48682388,200789508,21540469,60482015,571354920,84861659.8507402,23313583.9992913,99617039.7209274,6440452.50827233,24867478.3775938,239100214.456825,2016,2,4.81e+08,2.6e+07,1.9e+07,1.17e+08,6e+06,1.99e+08,6.5e+07,4.9e+07,NA,NA,2016-02-01,50.3
"3",Mar 2016,186141675.738861,26761949.7548497,120288369.833945,22992593.5703063,48025619.906459,404210208.80442,9969,25484,84429,13729,22916,156527,297290334,49390147,239222732,36282567,69230755,691416535,111148658.261139,22628197.2451503,118934362.166055,13289973.4296937,21205135.093541,287206326.19558,2016,3,1e+09,9.3e+07,2.1e+07,4.16e+08,4e+06,1.84e+08,6.2e+07,5.2e+07,9e+06,1.59e+08,2016-03-01,49
"4",Apr 2016,147053131.482266,25344512.7554762,98089507.7339315,20810850.2184689,48481948.1454746,339779950.335617,8006,25926,70521,11857,20510,136820,220481659,48983623,181131192,33222863,68839592,552658929,73428527.5177338,23639110.2445238,83041684.2660685,12412012.7815311,20357643.8545254,212878978.664383,2016,4,5.68e+08,5.2e+07,9e+06,2.43e+08,0,1.65e+08,5.7e+07,4.2e+07,NA,NA,2016-04-01,51.8
"5",May 2016,184433592,30524321,110489907.952099,24346112.0507811,59679816.2435872,409473749.246468,9419,28820,81713,14472,25250,159674,265051779,58149299,225617394,41935279,86722095,677475846,80618187,27624978,115127486.047901,17589166.9492189,27042278.7564128,268002096.753532,2016,5,7.81e+08,1.4e+07,8e+06,3.17e+08,8e+06,2.37e+08,6.8e+07,6.9e+07,1.1e+07,5e+07,2016-05-01,47.3
"6",Jun 2016,128465725,22437184,98067557.8201833,17094541.884396,39856001.2510118,305921009.955591,6638,21807,67291,9944,18504,124184,181197034,41564672,180590677,27024815,56362193,486739391,52731309,19127488,82523119.1798167,9930273.11560397,16506191.7489882,180818381.044409,2016,6,4.28e+08,1.7e+07,1.4e+07,2.5e+08,0,8e+07,2.8e+07,3.7e+07,NA,NA,2016-06-01,50.5
"7",Jul 2015,46140227,17555612,84632746.8706035,10756665,17851910.8591979,176937161.729801,3519,12996,56804,5474,12145,90938,58325275,30857187,158627169,15242286,35750761,298802678,12185048,13301575,73994422.1293965,4485621,17898850.1408021,121865516.270199,2015,7,1.71e+08,2e+06,2.5e+07,7.4e+07,0,1.3e+07,5e+06,5e+07,NA,NA,2015-07-01,54.6
"8",Aug 2015,61550,42278,258666,18054,38648,419196,4,38,175,8,50,275,84880,60305,419317,26994,74910,666406,23330,18027,160651,8940,36262,247210,2015,8,5.1e+07,0,1.3e+07,1.1e+07,0,1e+06,1e+06,2.5e+07,NA,NA,2015-08-01,60
"9",Sep 2015,137082095,46205382,178346133.505258,24779734,40075197.0023558,426488541.507614,9348,36051,127340,13201,28068,214008,177590293,86501041,326376783,34128867,75560625,700157609,40508198,40295659,148030649.494742,9349133,35485427.9976442,273669067.492386,2015,9,9.63e+08,3.9e+07,1.4e+07,6.28e+08,6e+06,1.64e+08,5e+07,6.2e+07,NA,NA,2015-09-01,46.9
"10",Oct 2015,242732530.500046,32161845.5932482,181766385.366032,21095757.8742706,31775744.1493337,509532263.482931,15726,27088,133872,11070,24183,211939,391082399,60652149,356901008,31430731,92985886,933052173,148349868.499954,28490303.4067518,175134622.633968,10334973.1257294,61210141.8506663,423519909.517069,2015,10,1.702e+09,6.1e+07,1.26e+08,8.47e+08,3.4e+07,2.44e+08,7e+07,3.19e+08,NA,NA,2015-10-01,44.4
"11",Nov 2015,163592807.257434,23739626.0016283,94209111.4390193,19310354.214842,33635791.130841,334487690.043765,8972,18727,78711,8717,18218,133345,247906583,43937246,175775224,25591014,55682087,548892154,84313775.7425656,20197619.9983717,81566112.5609807,6280659.78515801,22046295.869159,214404463.956235,2015,11,5.12e+08,4.2e+07,1.3e+07,1.42e+08,2e+06,1.96e+08,6.6e+07,5.2e+07,NA,NA,2015-11-01,47
"12",Dec 2015,207038083.339761,28616685.0009716,124731159.020279,21577796.2461441,54172892.7501968,436136616.357352,11689,20372,96545,11316,23099,163021,330709783,51269736,249479733,30747603,86900608,749107463,123671699.660239,22653050.9990284,124748573.979721,9169806.75385593,32727715.2498032,312970846.642648,2015,12,1.067e+09,5.4e+07,3.1e+07,5.67e+08,1.1e+07,2.25e+08,6.8e+07,1.12e+08,NA,NA,2015-12-01,45.8
